"STATION","NAME","DATE","PRCP"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-11-28","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-11-29","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-11-30","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-01","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-02","0.02"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-03","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-04","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-05","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-06","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-07","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-08","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-09","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-10","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-11","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-12","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-13","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-14","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-15","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-16","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-17","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-18","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-19","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-20","0.13"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-21","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-22","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-23","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-24","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-25","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-26","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-27","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-28","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-29","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-30","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-12-31","0.00"
